date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2022-01-04,moins de 65 ans,2021-2022,6418,2963,2022,1,1,1,,,,,
2022-01-05,65 ans et plus,2021-2022,8320,5089,2022,1,2,1,,,,,
2022-01-05,moins de 65 ans,2021-2022,5664,2498,2022,1,2,1,,,,,
2022-01-06,65 ans et plus,2021-2022,8692,5049,2022,1,3,1,,,,,
2022-01-06,moins de 65 ans,2021-2022,5685,2486,2022,1,3,1,,,,,
2022-01-07,65 ans et plus,2021-2022,7667,4576,2022,1,4,1,,,,,
2022-01-07,moins de 65 ans,2021-2022,5551,2805,2022,1,4,1,,,,,
2022-01-08,65 ans et plus,2021-2022,3709,1854,2022,1,5,1,,,,,
2022-01-08,moins de 65 ans,2021-2022,3419,1481,2022,1,5,1,,,,,
2022-01-09,65 ans et plus,2021-2022,215,92,2022,1,6,1,,,,,
2022-01-09,moins de 65 ans,2021-2022,147,62,2022,1,6,1,,,,,
2022-01-10,65 ans et plus,2021-2022,6438,3528,2022,1,0,2,,,,,
2022-01-10,moins de 65 ans,2021-2022,4172,1758,2022,1,0,2,,,,,
2022-01-11,65 ans et plus,2021-2022,6550,3805,2022,1,1,2,,,,,
2022-01-11,moins de 65 ans,2021-2022,4076,1912,2022,1,1,2,,,,,
2022-01-12,65 ans et plus,2021-2022,5139,2945,2022,1,2,2,,,,,
2022-01-12,moins de 65 ans,2021-2022,3762,1604,2022,1,2,2,,,,,
2022-01-13,65 ans et plus,2021-2022,5082,3042,2022,1,3,2,,,,,
2022-01-13,moins de 65 ans,2021-2022,3501,1511,2022,1,3,2,,,,,
2022-01-14,65 ans et plus,2021-2022,4653,2800,2022,1,4,2,,,,,
2022-01-14,moins de 65 ans,2021-2022,3582,1662,2022,1,4,2,,,,,
2022-01-15,65 ans et plus,2021-2022,2525,1109,2022,1,5,2,,,,,
